symbol_name,current_percent,previous_percent,list_type
AMBER,167.32,162.21,possible_entrants_result
KAYNES,142.96,135.8,possible_entrants_result
WIPRO,129.44,119.39,possible_entrants_result
BDL,114.1,55.39,possible_entrants_result
PGEL,112.31,108.77,possible_entrants_result
SAMMAANCAP,104.33,102.88,possible_entrants_result
EXIDEIND,98.14,101.01,possible_entrants_result
BANDHANBNK,97.63,94.11,possible_entrants_result
RVNL,97.2,102.55,possible_entrants_result
GLENMARK,96.69,89.82,possible_entrants_result
RBLBANK,94.74,93.18,possible_entrants_result
AMBUJACEM,93.96,93.28,possible_entrants_result
NMDC,93.72,86.14,possible_entrants_result
SBICARD,92.11,87.78,possible_entrants_result
ADANIENT,90.03,87.44,possible_entrants_result
NBCC,89.69,87.05,possible_entrants_result
LICHSGFIN,88.48,84.61,possible_entrants_result
SAIL,87.33,86.2,possible_entrants_result
INOXWIND,86.6,77.54,possible_entrants_result
ASHOKLEY,86.05,67.59,possible_entrants_result
KALYANKJIL,85.05,77.98,possible_entrants_result
IREDA,84.23,64.19,possible_entrants_result
BHEL,82.86,84.34,possible_entrants_result
PNB,81.07,79.66,possible_entrants_result
IEX,81.06,78.06,possible_entrants_result
CDSL,80.3,75.44,possible_entrants_result
